date,ticker,open,high,low,close,volume
2020-09-23,AVAX,5.32165397,5.32930962,3.98260404,4.11846862,173091214.37
2020-09-24,AVAX,3.81792536,4.7518783,3.53988692,4.56656107,96110963.56
2020-09-25,AVAX,4.61402804,4.95867258,4.24079849,4.71227917,55854396.78
2020-09-26,AVAX,4.71373648,4.81775221,4.37677358,4.53924857,27304545.98
2020-09-27,AVAX,4.53528875,4.69547225,4.13801226,4.62553553,23243191.66
2020-09-28,AVAX,4.63600884,4.64236705,4.20480313,4.20480313,20624309.65
2020-09-29,AVAX,4.20590558,4.28064063,3.97066231,4.14295087,16706916.81
2020-09-30,AVAX,4.14329318,4.39227781,4.01505614,4.32254623,16932875.58
2020-10-01,AVAX,4.32427861,4.49329163,4.05929393,4.15109018,23903200.93
2020-10-02,AVAX,4.14960395,4.20649217,3.69385177,3.92715641,30467406.07
2020-10-03,AVAX,3.92574773,4.1661555,3.88023862,4.02165954,11967393.66
2020-10-04,AVAX,4.02298282,4.06501609,3.85581733,3.96110965,12949575.33
2020-10-05,AVAX,3.96058635,4.03636165,3.88612272,3.97801988,8980051.25
2020-10-06,AVAX,3.98250364,3.98250364,3.51910221,3.53765781,15048997.78
2020-10-07,AVAX,3.53880902,3.54297993,3.2302658,3.44681826,15674565.65
2020-10-08,AVAX,3.44815649,3.92556412,3.34242517,3.90427907,15215458.15
2020-10-09,AVAX,3.91157435,4.27915711,3.81881726,4.23530482,13043373.34
2020-10-10,AVAX,4.24196307,4.25098879,4.01629356,4.0267045,14539710.75
2020-10-11,AVAX,4.02243483,4.15848307,3.97083903,4.09587934,11454884.93
2020-10-12,AVAX,4.09250328,4.68679947,4.05172178,4.41573976,14445437.22
2020-10-13,AVAX,4.41315023,4.54139188,4.33464584,4.48805379,14050397.56
2020-10-14,AVAX,4.48389387,4.48544775,4.02253581,4.15005578,10004481.35
2020-10-15,AVAX,4.15292787,4.2135414,4.01629039,4.12735307,6998969.66
2020-10-16,AVAX,4.12786557,4.15539265,3.8870107,4.04048023,9790610.43
2020-10-17,AVAX,4.03854072,4.19600869,3.97669431,4.19600869,6113717.11
2020-10-18,AVAX,4.19232299,4.24636654,4.08395151,4.11606159,3717530.72
2020-10-19,AVAX,4.11776531,4.16093878,3.99786687,4.05031145,5848392.05
2020-10-20,AVAX,4.05350404,4.08160994,3.7143789,3.80220148,19646467.19
2020-10-21,AVAX,3.80043858,4.10850458,3.79433369,3.96595864,23475818.62
2020-10-22,AVAX,3.97172469,4.49804432,3.96215341,4.31442085,24178361.26
2020-10-23,AVAX,4.33092903,4.48689406,4.14967247,4.26210578,19482074.42
2020-10-24,AVAX,4.26210578,4.35265955,4.16198021,4.18969951,16681037.05
2020-10-25,AVAX,4.18969951,4.25797176,4.10539528,4.15321015,15517938.56
2020-10-26,AVAX,4.15321015,4.47907144,4.04967754,4.16097292,9243754.93
2020-10-27,AVAX,4.16097292,4.34970905,4.0436588,4.12224302,17600880.78
2020-10-28,AVAX,4.12224302,4.17780547,3.93502735,4.06660637,19435211.04
2020-10-29,AVAX,4.06660637,4.10639614,3.73338322,3.77531205,6527859.23
2020-10-30,AVAX,3.77531205,3.81917247,3.58012673,3.71493759,28434550.48
