date,ticker,open,high,low,close,volume
2017-07-24,BCH,412.5799865723,578.8920288086,409.2109985352,440.7009887695,190952.0
2017-07-25,BCH,441.3450012207,541.6580200195,338.091003418,406.8970031738,524908.0
2017-07-26,BCH,407.0820007324,486.158996582,321.7919921875,365.8160095215,1784640.0
2017-07-27,BCH,417.0979919434,460.9689941406,367.7770080566,385.4790039063,533207.0
2017-07-28,BCH,386.6470031738,465.1809997559,217.0599975586,406.0459899902,1230160.0
2017-07-29,BCH,410.5650024414,423.7309875488,323.7300109863,384.7730102539,737815.0
2017-07-30,BCH,385.1400146484,385.1400146484,316.2520141602,345.6610107422,606695.0
2017-07-31,BCH,346.3640136719,347.825012207,266.1879882813,294.4609985352,1075960.0
2017-08-01,BCH,294.6019897461,426.1099853516,210.3849945068,380.0100097656,65988800.0
2017-08-02,BCH,382.3770141602,756.9320068359,309.3340148926,452.6570129395,416207008.0
2017-08-03,BCH,448.4859924316,519.2769775391,364.0480041504,364.0480041504,161518000.0
2017-08-04,BCH,362.183013916,386.9320068359,233.046005249,233.046005249,185038000.0
2017-08-05,BCH,231.1089935303,273.0360107422,200.9779968262,213.1470031738,144043008.0
2017-08-06,BCH,212.175994873,223.703994751,203.4450073242,220.6560058594,107606000.0
2017-08-07,BCH,223.7559967041,373.8720092773,223.7559967041,319.6889953613,346545984.0
2017-08-08,BCH,321.3500061035,386.2940063477,309.6109924316,345.4880065918,274880000.0
2017-08-09,BCH,345.2799987793,349.316986084,298.608001709,303.8909912109,165032000.0
2017-08-10,BCH,305.2109985352,311.683013916,274.6789855957,275.9530029297,136636992.0
2017-08-11,BCH,275.8810119629,351.1570129395,275.0239868164,328.2420043945,233971008.0
2017-08-12,BCH,327.8190002441,341.8479919434,313.7040100098,317.091003418,126007000.0
2017-08-13,BCH,316.2860107422,317.4729919434,298.0530090332,298.0530090332,120722000.0
2017-08-14,BCH,296.0979919434,327.3900146484,293.4970092773,297.6780090332,174968000.0
