date,ticker,open,high,low,close,volume
2020-08-21,DOT,2.8969232856,3.0900926678,2.730918684,2.8750282692,49313136.83
2020-08-22,DOT,2.8785700433,4.510613389,2.8167618534,4.4846901434,485801095.85
2020-08-23,DOT,4.4870583649,4.4870583649,3.7162710539,3.9670656921,320749483.24
2020-08-24,DOT,3.9874134923,4.78315824,3.8126695191,4.6026141518,407690170.88
2020-08-25,DOT,4.5849532461,5.7607753502,4.5012227457,5.5233930074,898847538.46
2020-08-26,DOT,5.5414058559,6.5546882614,5.1362052955,6.0817164688,1054351759.4
2020-08-27,DOT,6.0757722377,6.7891799136,5.3139262726,5.628337353,1289248953.26
2020-08-28,DOT,5.6394855723,6.3337460612,5.5409630011,6.1599547584,727162235.01
2020-08-29,DOT,6.1759246504,6.5629058291,6.0423088269,6.159143225,527290028.29
2020-08-30,DOT,6.153439932,6.2195064199,5.7499775264,5.8698808095,485335136.16
2020-08-31,DOT,5.9059175882,6.4593767862,5.7729660481,6.3000202146,512604781.46
2020-09-01,DOT,6.2988099046,6.8388983909,6.1723239478,6.2887665749,601527408.6
2020-09-02,DOT,6.2826862129,6.4326524056,5.6574417851,6.1394652407,584155027.67
2020-09-03,DOT,6.1311793043,6.3180793113,5.6825901534,5.7478677539,763663456.73
2020-09-04,DOT,5.7266101784,5.9813948118,4.6267201601,5.1460378917,845787793.24
2020-09-05,DOT,5.1360333806,5.31178363,3.6534678523,4.1223125969,805800384.88
2020-09-06,DOT,4.1370319259,4.9016495889,3.7597453044,4.7994679399,924160481.88
2020-09-07,DOT,4.7960477984,4.8200033752,4.0326333687,4.5946686447,675375182.71
2020-09-08,DOT,4.5889584793,4.6164401635,4.1195953277,4.2743244542,519440288.07
2020-09-09,DOT,4.2828680998,4.7967234075,4.1588727462,4.7089389523,534097093.86
2020-09-10,DOT,4.7098494372,4.8701405123,4.4712948225,4.5815843241,633577673.91
2020-09-11,DOT,4.5798478841,4.7481102202,4.3171298181,4.6455666285,633472139.87
2020-09-12,DOT,4.6506020494,5.2801564443,4.5160189034,5.1370369324,753745736.55
2020-09-13,DOT,5.1450412849,5.4788011842,4.8068256373,5.2979508921,1099475714.13
2020-09-14,DOT,5.296419926,5.6027821619,5.1264245759,5.3487093049,1008259712.12
2020-09-15,DOT,5.3666259709,5.4519167358,5.0957058996,5.0957058996,897864383.94
2020-09-16,DOT,5.0689626072,5.2813226697,4.9862112268,5.0803221041,792360520.6
2020-09-17,DOT,5.0803221041,5.4176710657,5.0617467649,5.3363011117,776350363.03
2020-09-18,DOT,5.3417093126,5.4591393806,5.1085532987,5.2457635464,683398179.63
2020-09-19,DOT,5.253237044,5.2556908277,4.824983281,4.9254106546,605268040.06
2020-09-20,DOT,4.9289151385,4.9744662855,4.4249178443,4.6724490176,798507890.72
2020-09-21,DOT,4.6724490176,4.7009026532,3.9504764162,4.0945974013,1096736656.95
2020-09-22,DOT,4.0854018143,4.2085961913,3.9182250955,4.1744630449,673117343.73
2020-09-23,DOT,4.16855388,4.31589082,3.97410084,4.03141516,557062766.18
2020-09-24,DOT,4.02136775,4.39995006,3.99318391,4.38197305,437573445.65
2020-09-25,DOT,4.37626455,4.52789841,4.26206226,4.42095446,425191119.26
2020-09-26,DOT,4.42224712,4.46401668,4.2425426,4.34766168,329745176.11
2020-09-27,DOT,4.34038273,4.36219225,4.16051801,4.31028125,316361927.42
2020-09-28,DOT,4.30243663,4.58297971,4.27012712,4.39786057,543507456.46
2020-09-29,DOT,4.42175762,4.60288724,4.35814665,4.50045212,508965929.31
2020-09-30,DOT,4.5029078,4.5029078,4.25363888,4.34978056,378446619.74
2020-10-01,DOT,4.35096756,4.58343031,4.25738199,4.34383142,445143707.89
2020-10-02,DOT,4.34450396,4.35854472,3.93316154,4.12317927,554916297.43
2020-10-03,DOT,4.12732162,4.13151263,4.03811866,4.07004647,361964763.25
2020-10-04,DOT,4.06763299,4.19549358,4.02151674,4.17391126,286356968.57
2020-10-05,DOT,4.18127259,4.23352845,4.12023205,4.17269979,332264663.82
2020-10-06,DOT,4.16927135,4.18200208,3.64568094,3.75616173,662270710.92
2020-10-07,DOT,3.75345569,3.87770316,3.62027134,3.85879757,629063455.77
2020-10-08,DOT,3.85762533,4.16000962,3.66464088,4.10264234,614223110.62
2020-10-09,DOT,4.1118526,4.3519417,4.02002285,4.26246761,491506581.93
2020-10-10,DOT,4.26040695,4.47580068,4.23972928,4.25295528,492038159.22
2020-10-11,DOT,4.25869866,4.33436964,4.17862061,4.26216216,388098954.95
2020-10-12,DOT,4.25573928,4.43700326,4.20790264,4.31994798,489608532.22
2020-10-13,DOT,4.31607875,4.34451373,4.15770655,4.24940015,420659946.98
2020-10-14,DOT,4.25553051,4.35809785,4.09373446,4.19911439,520198619.35
2020-10-15,DOT,4.19229289,4.19229289,4.03381124,4.09681088,450623089.48
2020-10-16,DOT,4.10002446,4.1571084,3.83991198,3.90952943,443295515.2
2020-10-17,DOT,3.91712827,3.97736805,3.8716104,3.96725217,206453737.73
2020-10-18,DOT,3.96836011,4.12171798,3.96001225,4.1046509,204108300.39
2020-10-19,DOT,4.11096489,4.11124377,3.9641658,3.99059237,249983724.99
2020-10-20,DOT,3.98968963,4.13819549,3.87563877,3.91034337,502694692.76
2020-10-21,DOT,3.90600385,4.24558051,3.90534078,4.14111972,458018406.6
2020-10-22,DOT,4.14091473,4.33187496,4.1316499,4.26894964,367309225.34
2020-10-23,DOT,4.27390904,4.47415712,4.20227598,4.2668497,461816707.97
2020-10-24,DOT,4.26685298,4.4309251,4.24464275,4.35534397,310306551.71
2020-10-25,DOT,4.35534397,4.44723966,4.26793836,4.33523061,339106539.27
2020-10-26,DOT,4.33523115,4.73870836,4.30417111,4.72701624,722990809.79
2020-10-27,DOT,4.72701627,4.92778012,4.66053578,4.68395195,820401908.66
2020-10-28,DOT,4.68395355,4.77425197,4.26227648,4.36509669,649971737.96
2020-10-29,DOT,4.36509803,4.40378108,3.87925149,4.05334477,686597328.92
2020-10-30,DOT,4.05327784,4.1567611,3.93718717,4.08811312,586577443.26
2020-10-31,DOT,4.0881861,4.27423096,4.07273564,4.18176751,318678917.38
2020-11-01,DOT,4.18167307,4.22561493,4.12206332,4.22561493,302861123.82
2020-11-02,DOT,4.22576921,4.26160818,3.98563069,4.0302315,503474044.38
2020-11-03,DOT,4.03022899,4.06516097,3.88636969,4.02546848,413471120.9
2020-11-04,DOT,4.02547346,4.14728105,3.89419012,4.09808333,836536271.6
2020-11-05,DOT,4.09808406,4.29735366,4.02567638,4.23519485,375265287.2
2020-11-06,DOT,4.2351967,4.63396518,4.20679887,4.57965191,463200955.9
2020-11-07,DOT,4.57965191,4.8383977,4.10651432,4.24195952,724809168.16
2020-11-08,DOT,4.24195952,4.42657414,4.14264442,4.37209313,393903989.85
