date,ticker,open,high,low,close,volume
2020-09-18,UNI,3.4881529615,8.4385374089,3.2617574718,6.8972568219,6061110197.71
2020-09-19,UNI,6.9455769791,7.4432747877,5.3217948569,5.7244641808,2447471305.09
2020-09-20,UNI,5.7205148121,6.0503256299,4.720209841,5.2441954894,1554143599.06
2020-09-21,UNI,5.2441954894,5.6221547589,4.1607425585,4.2660785598,1329464490.17
2020-09-22,UNI,4.2750136626,4.5540924279,3.755040311,3.9051378654,816282684.41
2020-09-23,UNI,3.9179441,4.70764808,3.91656188,4.6532649,964205456.91
2020-09-24,UNI,4.44857591,5.24979542,4.44857491,5.13726606,1168427377.43
2020-09-25,UNI,5.1604458,5.52867918,4.848576,5.0129515,882242519.3
2020-09-26,UNI,5.01134874,5.22504502,4.73724624,4.80588085,463707078.01
2020-09-27,UNI,4.8022694,5.44252226,4.72870427,4.78089893,444099191.73
2020-09-28,UNI,4.78143002,4.93726458,4.16431477,4.18797912,435788115.88
2020-09-29,UNI,4.1879735,4.41739496,4.11835371,4.41737989,356399046.7
2020-09-30,UNI,4.44818183,4.44867244,3.92189314,4.01301477,375777186.5
2020-10-01,UNI,4.01405244,4.50650345,3.97404619,4.25986485,701098957.9
2020-10-02,UNI,4.26179978,4.29222077,3.66555445,3.78589829,646428103.65
2020-10-03,UNI,3.78360407,4.12461173,3.74928665,3.79161411,359042995.38
2020-10-04,UNI,3.7976472,3.81608753,3.61677665,3.6689251,413697305.85
2020-10-05,UNI,3.66892529,3.71620756,3.34125598,3.41920528,497456256.79
2020-10-06,UNI,3.4168835,3.4168835,2.72101245,2.83424131,681166626.08
2020-10-07,UNI,2.84232212,2.98866733,2.46286782,2.80006352,664950267.34
2020-10-08,UNI,2.79732568,3.41710007,2.58260796,3.27030556,717724262.16
2020-10-09,UNI,3.28565959,3.55527319,2.99539995,3.09736689,672751180.97
2020-10-10,UNI,3.08181189,3.63220356,3.05492812,3.33152713,562610976.54
2020-10-11,UNI,3.33123934,3.44217517,3.25074287,3.38724035,411091368.09
2020-10-12,UNI,3.37902053,3.42904253,3.20308461,3.26026136,558369285.39
2020-10-13,UNI,3.26167314,3.62266013,3.23538533,3.49726586,383311535.25
2020-10-14,UNI,3.50017875,3.58245159,2.6488059,3.08202347,516845492.97
2020-10-15,UNI,3.0773485,3.07741004,2.86653965,2.90694874,439092200.22
2020-10-16,UNI,2.90838269,3.16335461,2.80555941,3.03497654,578856190.38
2020-10-17,UNI,3.03737341,3.08567533,2.96052754,3.0006826,274343380.15
2020-10-18,UNI,2.99508022,3.27679891,2.98276067,3.26685888,270238696.63
2020-10-19,UNI,3.27467548,3.28186631,3.12873845,3.17766422,353126948.02
2020-10-20,UNI,3.17358289,3.18129683,2.82147395,2.86980023,542347476.07
2020-10-21,UNI,2.86189747,3.06571378,2.85083113,2.94137384,641102099.62
2020-10-22,UNI,2.94084829,3.13980626,2.93028557,3.03945049,490414766.66
2020-10-23,UNI,3.04407276,3.12028148,2.9744434,3.01219005,340365373.13
2020-10-24,UNI,3.01219006,3.08329223,2.93770967,2.943257,228726426.05
2020-10-25,UNI,2.943257,2.96679659,2.7299389,2.77574688,280177012.5
2020-10-26,UNI,2.77574703,2.86815301,2.5507011,2.72590258,402513710.15
2020-10-27,UNI,2.72590256,2.90054865,2.71078781,2.82239855,374717068.9
2020-10-28,UNI,2.82239888,2.85034013,2.59936174,2.67611603,382606651.57
2020-10-29,UNI,2.67611619,2.73456913,2.49409014,2.54161629,452924613.88
2020-10-30,UNI,2.54161714,2.55472877,2.26524486,2.41416755,407724693.28
2020-10-31,UNI,2.41416755,2.41416755,2.25159656,2.26642787,195366722.87
2020-11-01,UNI,2.26642788,2.43362193,2.22745794,2.37930546,189355187.03
2020-11-02,UNI,2.37930535,2.44083514,2.24325691,2.25425989,267321819.13
2020-11-03,UNI,2.25425961,2.28102325,2.06594231,2.13431874,249641515.29
2020-11-04,UNI,2.13432465,2.16038741,1.8889727,1.93011859,339588343.3
2020-11-05,UNI,1.93012344,2.40161741,1.76381655,2.20612935,513013237.59
2020-11-06,UNI,2.20611582,2.6778813,2.18203083,2.5507954,584436650.22
2020-11-07,UNI,2.5507954,2.99585781,2.44812623,2.46649654,771051234.78
2020-11-08,UNI,2.46649654,2.88537031,2.44255685,2.84861707,478996896.82
2020-11-09,UNI,2.84861689,2.85200563,2.58628614,2.67686302,486394677.98
2020-11-10,UNI,2.6768644,3.10329501,2.64013281,3.00754392,514331153.5
2020-11-11,UNI,3.00754399,3.14989615,2.87706502,2.91237512,525551142.74
2020-11-12,UNI,2.9123745,3.08158068,2.82726603,2.93014159,538966370.03
2020-11-13,UNI,2.93014204,3.96135021,2.90612094,3.8796593,765960346.89
2020-11-14,UNI,3.87965931,3.95374568,3.5347313,3.80910701,774643439.73
2020-11-15,UNI,3.809107,4.23602319,3.63484903,3.86200742,742520517.95
2020-11-16,UNI,3.86200742,3.93290678,3.45923842,3.6040116,739416980.09
2020-11-17,UNI,3.7592612,3.84843573,3.48538747,3.80348089,753340390.03
2020-11-18,UNI,3.80345424,3.84740553,3.28832495,3.46366504,855595851.86
2020-11-19,UNI,3.46368006,3.88487541,3.24750812,3.7330601,690972294.12
2020-11-20,UNI,3.73306035,4.083962,3.68421478,3.84091406,1046467101.11
2020-11-21,UNI,3.84091408,3.92577012,3.60059507,3.81223005,972140640.1
2020-11-22,UNI,3.81223004,3.920586,3.44760963,3.65905312,1008603252.54
2020-11-23,UNI,3.6590533,4.20403492,3.63718074,4.18887791,1351039953.96
2020-11-24,UNI,4.18934869,4.47937112,3.95724615,4.06707338,1346899109.1
2020-11-25,UNI,4.06528421,4.2001122,3.57910843,3.68375432,933020040.31
2020-11-26,UNI,3.68201694,3.76552699,3.11653759,3.43149857,1516484179.14
2020-11-27,UNI,3.43383644,3.5188661,3.17294199,3.31672524,665287433.4
2020-11-28,UNI,3.3169469,3.53101638,3.26637116,3.46967137,508403729.82
2020-11-29,UNI,3.4702646,3.56922307,3.37474809,3.55205527,483895367.8
2020-11-30,UNI,3.55194377,3.80433301,3.5373901,3.76907441,824763849.88
2020-12-01,UNI,3.77261173,3.97591071,3.47676087,3.55541263,1042619600.66
2020-12-02,UNI,3.55505791,4.16847302,3.51347614,3.93694029,729926103.81
2020-12-03,UNI,3.94006984,4.0197147,3.80858813,3.89198201,587622998.92
2020-12-04,UNI,3.89226813,3.91618491,3.50719947,3.52813216,595341444.34
2020-12-05,UNI,3.5281354,3.69654678,3.45703087,3.68167397,420480160.72
2020-12-06,UNI,3.68186976,3.7772646,3.51212876,3.6531076,423227915.43
2020-12-07,UNI,3.65302741,3.87173173,3.57089075,3.7645407,411938301.78
2020-12-08,UNI,3.76422563,3.76422563,3.28255637,3.28498568,546521147.09
2020-12-09,UNI,3.28540642,3.39082298,3.13234338,3.35541723,516081302.94
2020-12-10,UNI,3.35583216,3.36777105,3.19163124,3.24360991,365002773.89
2020-12-11,UNI,3.24386486,3.24386486,2.92648179,2.97210942,506458332.32
2020-12-12,UNI,2.97014964,3.17407792,2.96592549,3.12253386,299773732.06
2020-12-13,UNI,3.12293658,3.36219136,3.07402739,3.33782159,363657249.13
2020-12-14,UNI,3.33855897,3.52055261,3.24720954,3.48526339,364601423.7
2020-12-15,UNI,3.48430196,3.51630274,3.31963556,3.33150942,331368558.77
2020-12-16,UNI,3.33117989,3.53317972,3.25121168,3.52855053,569026020.91
2020-12-17,UNI,3.52872526,3.99304644,3.44575041,3.69151096,1276882131.07
2020-12-18,UNI,3.69271777,3.84243785,3.55541072,3.76731462,764765771.57
2020-12-19,UNI,3.76547571,4.23610709,3.71021271,3.96389255,860199471.31
2020-12-20,UNI,3.96359917,4.01578153,3.72819011,3.76568859,701901570.61
2020-12-21,UNI,3.76621274,3.9184022,3.44885525,3.52324575,757127157.75
2020-12-22,UNI,3.52019541,3.77340982,3.29904714,3.73061416,734453822.74
2020-12-23,UNI,3.72935372,3.76971416,3.02677571,3.31396994,838383816.4
2020-12-24,UNI,3.31553774,3.52143239,3.16793277,3.52143239,673684478.08
2020-12-25,UNI,3.52148253,3.63597354,3.38354015,3.50369878,597006834.19
2020-12-26,UNI,3.50356115,3.59978136,3.36239433,3.40696394,531596588.27
2020-12-27,UNI,3.40689161,3.77099117,3.37605437,3.59463998,966315809.88
2020-12-28,UNI,3.59486928,3.91333214,3.57897239,3.72836028,859661085.08
2020-12-29,UNI,3.72754665,3.82327011,3.50297985,3.6708054,686584801.06
2020-12-30,UNI,3.67033092,4.3354187,3.63935282,4.14055831,763321282.11
2020-12-31,UNI,4.13722104,5.28374091,3.95631792,5.16833732,1385543382.94
2021-01-01,UNI,5.16686113,5.26797261,4.6420704,4.7362491,840105754.29
2021-01-02,UNI,4.73460276,5.16960538,4.49131952,4.84521386,1418519092.07
2021-01-03,UNI,4.84665447,5.61278194,4.67213651,5.44703128,2184123152.72
2021-01-04,UNI,5.4738224,6.1691837,4.93133864,5.40656561,3707353731.0
2021-01-05,UNI,5.41907769,6.55218252,5.25441881,6.27929137,2956879540.92
2021-01-06,UNI,6.28392267,6.58984226,6.05464387,6.40937474,2462933929.99
2021-01-07,UNI,6.41078445,6.7715262,6.12133429,6.26771472,2482937538.81
2021-01-08,UNI,6.26641152,6.34864545,5.51218475,5.88761164,3002482252.2
2021-01-09,UNI,5.88872958,6.34860197,5.68918323,6.25130035,1895112492.74
2021-01-10,UNI,6.24964644,6.58353414,5.60845343,5.99116286,2348003198.19
